url,naziv,cijena,lokacija,lat lng
https://www.olx.ba/artikal/30857028/saray-residence-stup-trosoban-stan/,SARAY RESIDENCE STUP - TROSOBAN STAN,91.000 KM,Ilidža,"https://maps.google.com/maps?ll=43.843665,18.319566&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31066552/saray-residence-stup-dvosoban-stan/,SARAY RESIDENCE STUP - DVOSOBAN STAN,91.000 KM,Ilidža,"https://maps.google.com/maps?ll=43.843634,18.319416&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/29126520/prostor-prodaje-trosoban-stan-stari-grad/,"PROSTOR prodaje: Trosoban stan, Stari grad",189.000 KM,Stari Grad,"https://maps.google.com/maps?ll=43.861034,18.423139&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30874076/prostor-prodaje-cetverosoban-stan-stari-grad/,"PROSTOR prodaje: Četverosoban stan, Stari Grad",259.000 KM,Stari Grad,"https://maps.google.com/maps?ll=43.86086,18.425148&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31355524/prostor-prodaje-cetverosoban-stan-dobrinja-5/,"PROSTOR prodaje: Četverosoban stan, Dobrinja 5",165.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.832936,18.344114&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/29471287/area-troiposoban-stan-centar-98-m2/,AREA/Troiposoban/stan/Centar/98 m2,260.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.861968,18.415437&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/26306665/area-prodaje-trosoban-stan-centar-94-m2-centar/,AREA prodaje/ Trosoban stan/ Centar/ 94 m2/Centar,299.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.862169,18.415394&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31183992/komforan-renoviran-stan-na-grbavici-vraca/,Komforan renoviran stan na Grbavici-Vraca,108.000 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.84681,18.397116&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31242329/stan-alipasino-polje/,Stan Alipasino polje,110.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.843725,18.346329&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/29430060/dobrinja-5-dvosoban-stan-moze-zamjena-za-veci-stan/,Dobrinja 5 - Dvosoban stan (može zamjena za veči stan),111.500 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.831901,18.34145&z=16&hl=en-US&gl=US&mapclient=apiv3"
